,Latitude,Longitude
"Primorska, Slovenia",45.52972555,13.664019681876102
"Jumilla, Levante, Spain",38.4740804,-1.3262211
"Brda, Slovenia",46.0162019,13.548910233619523
"Friuli, Northeastern Italy, Italy",,
"Lake County, California, US",39.0505411,-122.7776556
"Viile Carasului, Romania",,
"Grand Valley, Colorado, US",40.0990074,-106.1366966
"Mendoza, Mendoza Province, Argentina",-51.6121723,-69.2241958
"Ceres Plateau, South Africa",,
"Río Negro Valley, Other, Argentina",,
"Anderson Valley, Mendocino County, California, US",39.0600021,-123.4305338
"Fort Ross-Seaview, Sonoma, California, US",38.5571348,-123.2644524
"Patagonia, Other, Argentina",,
"Tikves, Macedonia",41.9940075,21.4394921
"Calistoga, Napa, California, US",38.5787966,-122.5797054
"Simonsberg-Stellenbosch, South Africa",-33.883948,18.9271246
"Zenata, Morocco",33.60377995,-7.382675697468085
"Temecula, South Coast, California, US",,
"Pemberton, Western Australia, Australia",-34.4441275,116.0346584
"Klein River, South Africa",-33.4634561,22.5111929
"Mount Veeder, Napa, California, US",38.3793566,-122.4477575
"Vin de Pays de L'Herault, Languedoc-Roussillon, France",,
"Pageon, Greece",,
"Aconcagua, Chile",-32.8846684,-71.2640583
"San Juan, Other, Argentina",,
"Barossa Valley, South Australia, Australia",-34.581713199999996,138.99878719802487
"New South Wales, New South Wales, Australia",-33.8737539,151.2095867
"Stellenbosch, South Africa",-33.934444,18.869167
"Sicilia, Sicily & Sardinia, Italy",,
"Südsteiermark, Austria",46.774124,15.667152141167598
"Lison-Pramaggiore, Veneto, Italy",45.7788246,12.7367108
"Blaye Côtes de Bordeaux, Bordeaux, France",,
"Rapel Valley, Chile",-34.14103015,-71.4357698956733
"Styria, Austria",47.2500001,15.1666665
"Walla Walla Valley (WA), Columbia Valley, Washington, US",,
"Atacama Valley, Chile",-27.5571783,-70.0156882
"Terras do Dão, Portugal",41.719337749999994,-8.308758284624314
"North Coast, North Coast, California, US",,
"Idaho, Idaho, US",45.7680684,-115.5160723
"Columbia Valley (WA), Columbia Valley, Washington, US",46.2263431,-119.22738743269724
"Trás-os-Montes, Portugal",41.59298595,-6.7288269232895885
"Collio, Northeastern Italy, Italy",,
"Michigan, Michigan, US",42.33136,-83.0520837
"Cape South Coast, South Africa",-28.077321249999997,153.4171431679907
"Judean Hills, Israel",,
"Pouilly-Fumé, Loire Valley, France",,
"Cortona, Tuscany, Italy",43.2752976,11.9850623
"Awatere Valley, New Zealand",-41.8529115,173.6964424
"Dealu Mare, Romania",46.7202291,23.1579285
"Orange, New South Wales, Australia",-33.2820463,149.0971567
"San Antonio-Maipo Valley, Chile",-33.7393675,-71.006138
"Clear Lake, Lake County, California, US",39.0319478,-122.79947762463578
"Colchagua Costa, Chile",,
"Côtes du Marmandais, Southwest France, France",44.5130976,0.1352266
"Santa Barbara County, Central Coast, California, US",,
"Touraine Chenonceaux, Loire Valley, France",,
"Romania, Romania",45.9852129,24.6859225
"Côtes du Tarn, Southwest France, France",44.2365873,1.7689625
"Loncomilla Valley, Chile",-35.823574,-71.8272471
"Upper Hemel en Aarde Valley, South Africa",,
"Black Sea Coastal, Bulgaria",,
"McLaren Vale, South Australia, Australia",-35.2172617,138.5416998
"North Canterbury, New Zealand",-43.49417615,171.8098447584145
"Neuquén, Other, Argentina",-38.9521287,-68.2279629
"Leyda Valley, Chile",-33.6121783,-71.4508924
"Charentais, France Other, France",,
"Amador County, Sierra Foothills, California, US",,
"Toscana, Tuscany, Italy",43.7215969,10.3969338
"Valais, Switzerland",46.2303063,7.6605757
"Hemel en Aarde, South Africa",-34.4115921,19.206177681612516
"Languedoc, Languedoc-Roussillon, France",,
"Buenos Aires, Other, Argentina",-34.7165244,-58.275414
"Swartland-GroeneKloof, South Africa",,
"Sonoma Mountain, Sonoma, California, US",38.3229698,-122.5749837
"Sonoma County-Napa County, Napa-Sonoma, California, US",38.168540300000004,-122.3306377262485
"Waipara Valley, New Zealand",-43.058482,172.7602403
"Canelones, Uruguay",-34.6222482,-55.9903797
"Clarksburg, Central Valley, California, US",38.4204651,-121.5271772
"San Bernabe, Central Coast, California, US",,
"Hawke's Bay, New Zealand",-39.4343279,176.7652742
"Malleco, Chile",-37.7960595,-72.6516866
"Elgin, South Africa",-34.1486111,19.0427778
"St. Helena, Napa, California, US",38.5052288,-122.4700424
"Wagram, Austria",48.2432231,14.2311332
"Carneros, Napa-Sonoma, California, US",,
"Currency Creek, South Australia, Australia",-35.4525549,138.7598074
"Friuli Venezia Giulia, Northeastern Italy, Italy",,
"Alentejano, Portugal",38.8420973,-7.5871415
"Negev Hills, Israel",30.9247487,34.7196507
"Southern Oregon, Southern Oregon, Oregon, US",,
"Stags Leap District, Napa, California, US",,
"Eden Valley, South Australia, Australia",-34.6666979,139.12996486291587
"Drama, Greece",41.1499443,24.1468286
"Rattlesnake Hills, Columbia Valley, Washington, US",,
"Wrattonbully, South Australia, Australia",-37.1677831,140.9458691
"Northern Sonoma, Sonoma, California, US",38.5177297,-122.9738437
"Tupungato, Mendoza Province, Argentina",-38.9809013,-67.841087
"Sauvignon, Sauvignon Blanc",,
"Molina, Chile",-35.1139703,-71.2799798
"Premieres Côtes de Blaye, Bordeaux, France",,
"Walker Bay, South Africa",-34.5563889,19.3416667
"King Valley, Victoria, Australia",-36.694793,146.4082840631994
"Mendoza Province, Argentina",-51.6125884,-69.2245606
"Santa Margarita Ranch, Central Coast, California, US",,
"Ribbon Ridge, Willamette Valley, Oregon, US",,
"Ancient Lakes, Columbia Valley, Washington, US",,
"Nelson, New Zealand",-41.2710849,173.2836756
"Moldova, Moldova",47.2879608,28.5670941
"Coteaux du Giennois, Loire Valley, France",47.6831795,2.6534443
"Vin de Pays du Comté Tolosan, Southwest France, France",,
"Frankland River, Western Australia, Australia",-34.3607322,117.0801807
"Friuli Isonzo, Northeastern Italy, Italy",,
"Sonoma Coast, Sonoma, California, US",38.4243975,-123.0883292433611
"Arroyo Seco, Central Coast, California, US",,
"Aconcagua Valley, Chile",-32.7506976,-70.7252018
"Sainte-Foy Bordeaux, Bordeaux, France",44.8489497,-0.5728811
"Monterey, Central Coast, California, US",33.603876,-117.831697
"Central Valley, Chile",-31.7613365,-71.3187697
"Santa Clara Valley, Central Coast, California, US",,
"Viile Timisului, Romania",,
"Sierra Foothills, Sierra Foothills, California, US",,
"Philadelphia, South Africa",-33.666635,18.580989
"New Zealand, New Zealand",-41.5000831,172.8344077
"Lake County-Mendocino County, North Coast, California, US",,
"Fiddletown, Sierra Foothills, California, US",,
"Saint-Bris, Burgundy, France",,
"Paso Robles, Central Coast, California, US",,
"Cahul, Moldova",45.9044087,28.1946583
"Napa-Carneros, Napa, California, US",,
